idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
AQL YUGURTIRMOQ,kim? nimaga?,chuqur o’ylab mulohaza yuritmoq.,,,aqlni yugurtirmoq,,,,"Siz majlisda tajang bo’lib o’tirib, ko’p narsalarni eshitmagan, eshitgan gaplaringizdan ko’pining mohiyatiga aql yugurtirib ko’rmagan bo’lishingiz mumkin Aqlni yugurtirib qarasam, yigirma birinchi yilga kelganda Hadyaxonni senlab yuboribman.",I.Rahim,Hilola
AQL YURGIZMOQ,kim?,"o’ylamoq, fikrlamoq, mulohaza qilmoq.",,,,,,,"Yuragim bilan emas, aql yurgizib shunday xulosa chiqarar edim.",O.Yoqubov,Tilla uzuk
AQL O’RGATMOQ,kim? kimga?,biror shart-sharoitda nima qilish kerakligi bo’yicha ko’rsatmalar bermoq.,,,,,,,"Ona suting og’zingda-yu, soqolimning oqiga qaramay aql o’rgataman deysan, xumpar. hosilni shunchaga chiqargan kim ekan, kecha kelib, bugun aql o’rgatadi. .",,
AQLDAN OZMOQ,kim?,"jinni bo’lmoq, telba bo’lmoq.",,,,es(i)dan og’moq; es(i) og’di,,,"(o’zining); kimning? Onang aqldan ozibdi, qizim, ol, yig’ishtirib qo’y bularni! lekin Salimov aqldan ozib, olti oy psixik kasalxonada yotib chiqqanidan xabari bor.",P.Qodirov,Uch ildiz
AQL(I) BOVAR QILMAYDI,kimning? nimaga?,"ishonib yetmaslik, idrok qila olmaslik.",,,aql bovar qilmadi,,,,"Yo tavba, bir odamning qo’lidan shuncha ish kelishiga aqling bovar qilmaydi «Darvoqe, to’g’ri». Abduvahob shunga ham aqli bovar qilmaganiga izza tortib qizardi. Shuncha ko’kalamzor shu sizib chiqayotgan qatimcha tufayli bino bo’lganiga daf’atan aql bovar qilmaydi",P.Qodirov,Uch ildiz
AQL(I) BOSHIDIN KETMOQ,,[aqlï bašïdïn ket=] tar.,,,,"aqlini yo’qotmoq, o’zi­ni; yo’qotmoq",,,"Xorazmiyning ketib aqli boshidin, Turur tik surati, yo’q jon ichinda.",,
AQLI BUTUN,kimning?,"aqlli, miyali, esli.",,,,,,,Otasi qariganda ro’zg’origa aqli butun bolalar bosh bo’ladi.,Mushtum.,
AQL(I) KIRDI,kimning?,es-hushli bo’lmoq.,1,,es(i) kirdi; aql kirdi,aql(i)ni tanimoq; aqli kirib qolmoq,,,"Uning bo’yi cho’zilib, yigit bo’lib qoldi. Aqli kirdi Hali ham esing kirmabdi, yosh bola ekansan. Shu tentakkina o’g’limga aql kirib, hukumatning sallotboshisi bo’lib ketgan.",S.Ahmad,Hukm
AQL(I) KIRDI,kimning?,"anglamoq, tushunmoq.",2,,es(i) kirdi; aql kirdi,aql(i)ni tanimoq; aqli kirib qolmoq,,,"Bir daf’a qizimni o’tga tashladim, eldan, yurtdan nomus qildim; endi bas, aqlim kirdi. «Menga qara, – dedi Rajab bobo, – qachon esing kiradi?! Qilib yurgan ishingni bilasanmi?» .",,
AQL(I) QOCHMOQ,kimning?,"qiladigan ishini bilmay qolmoq, mulohaza yuritolmay qolmoq.",,,,,,,"Men bilmayman, mening aqlim qochgandir, Sen kelding, Hasanxon, kayfim uchgandir.",E.Jumanbulbul,Ravshan
AQL(I) YETADI,kimning? nimaga?,"idrok qilmoq, uqmoq; bilmoq.",1,,aql yetmaydigan( – ); fahm(i) yetadi; fahm-farosat(i) yetadi,ko’z(i) yetdi,,,"Pul topishga aqli yetgan Zebining sarf qilishga ham aqli yetib qolar. Ba’zan hech xayolga kelmagan, aql yetmaydigan narsalarni aytadi, lekin yosh! Mening tegirmonim tumanda birinchi, sen tegirmonning fahmiga yetmaysan. «Bozor xosiyatli joy, jarang-jarang pulning koni. Bilmaysan sen g’o’r, fahm-farosating yetmaydi», – dedi qiz iljayib.",A.Qahhor,Kartina
AQL(I) YETADI,kimning? nimaga?,"ishonch hosil qilmoq, ishonmoq.",2,,aql yetmaydigan( – ); fahm(i) yetadi; fahm-farosat(i) yetadi,ko’z(i) yetdi,,,"Ernazar aka .. gapidan birovga naf tegishiga aqli yetsagina gapiradi. Tilni ham juda yomon biladi. O’z qismini topishiga aqlim yetmaydi Shunday bo’lgandan keyin, siz ro’zg’oringizdan orttirib, unga bitta ro’molcha olib berolmasligingizga aqlim yetadi. Yo noto’g’rimi?",A.Qahhor,Sinchalak
AQL(I) YETMASLIK,kimning? nimaga?,"ishonmaslik, shubha, gumon bilan qarash.",,,,,,,"– Tovba, – dedi Alim buva yoqasini ushlab, – hu o’sha hokim oldida suv chiqaraylik, deb o’lib turgan Teshavoy ekaniga hech aqlim yetmay qoldi.",M.Ismoiliy,Farg’ona tong otguncha
AQL(I) SHOSHDI,kimning?,"kutilmagan narsaga duch kelib, qilar ishini bilmay qolmoq.",,,,,,,"Ana shu yerga kelganda ko’plarning boshi gangib, aqli shoshib qoldi",,
AQLI SHOSHIB QOLMOQ,kimning? nimadan?,"nima qilarini bilmay qolish, hang-mang bo’lib qolmoq.",,,,,,,"Zulxumor maynasiga: – Ey jonvor, mening boshimga mushkuldan mushkul ish tushib qoldi, aqlim shoshib qoldi. Shunday kunda sen yarasang, men ham bergan tuzimga ko’pmiozmi rozi bo’laman.",E.Jumanbulbul,Ravshan
AQL(IN)DAN KETMOQ,,[aqlïndan ket=] tar.,,,,,,,o’zining Qarshi boqsa olam uzra jumla aqlindan ketar Joduning aslin magar dilbar qaroqinda tutar.,,
AQL(I)GA SIG’MASLIK,nima? kimning?,"voqe bo’lishini mumkin emas deb bilmoq, xayolan ham tasavvur qilmaslik.",,,aqlga sig’maslik; aqlga sig’armidi?!,,,,"hoyat, qarindosh uchun jonini ayamaydigan Mirahmadning aynishini o’z aqliga sig’dirolmadi u. Meni quloq qilgani kelganmi! bu? Tavba. Aqlga sig’maydigan gaplar. Telba emasmikin bu qiz?",I.Rahim,Hilola
AQL(I)NI MOG’OR BOSDI,kimning?,"miyani to’g’ri, chuqur ishlatmaslik.",,,,,,,nega qishloqda bo’lib o’tgan va bo’lib o’tayotgan ishlarga ko’zini kattaroq ochib qaramabdi? Aqlini mog’or bosgani shudir-da! .,,
AQLINI OLMOQ,kim? yoki nima? kimning?,"maftun qilmoq, o’ziga qaratmoq.",,,aqlini o’g’irlamoq,,,,"Bu kampir ham juda epchillik qildi. Beli bukrayib, qulog’i tikrayib, xizmat ko’rsatib, Gulgun parining ham aqlini oldi.",,
AQL(I)NI TANIMOQ,kim? [o’zining],es-hushli bo’lmoq.,,,aql-u hush(i)ni tanimoq,aql(i) kirdi,,,"Boboqul aqlini tanibdiki, Maxsumlarning molini boqadi. Keyin, madrasada o’qib yurgan, aql-u hushimni ancha tanib olgan o’spirinlik kezlarimda ham tashvishlanishlarini qo’ymas edi.",M.Ismoiliy,Farg’ona tong otguncha
AQL(I)NI YEMOQ,kim? [o’zining],"miyasi ishlamay qolmoq, fikrlash qobiliyatini yo’qotmoq.",,,,,,,"Qarib, miyangizni yeb qolibsiz, ko’zdan ham qolibsiz! «Voy o’lsam go’rga, – dedi Qandolat opa,– esimni yemasam, sizga gapirarmidim?»",M.Ismoiliy,Farg’ona tong otguncha
AQL(I)NI YIG’IB OLMOQ,kim?,"o’ylab ish qilmoq, to’g’ri xulosa chiqarmoq.",,,aql-u hushini yig’ib olmoq,,,,"Agar tezda aqlingni yig’ib olmasang, xalq g’azabiga duchor bo’lasan, ovsar! – dedi tog’asi Safarga.",Y.Shukurov,Qasos
AQLI RASO,[kimning?],"chuqur fikr yuritadigan, chuqur bilimli.",,,,,,,"Senday aqli raso, tushunadigan odam bo’lsam, zavoddan ketmas edim. .",,
AQLNI ELTMOQ,kim? yoki nima?,aqlni (es-hushni) olmoq.,,,,,,,"Shirin ham oydayin to’lgan kamoli, Aqlingni eltar husn-u jamoli.",,
AQL-U HUSH(I) JOYIGA KEL,,o’z harakatlarini ongli ravishda boshqara oladigan darajaga qaytmoq.,,,,,aql-u hush(i)ni yo’qotmoq,,"Pichoq urgan Qo’chqorning ham, pichoq yegan Sherbekning ham omon-eson ekanini eshitib bilgach, ko’ngli ancha taskin topdi. Aql-u hushi joyiga keldi",S.Anorboyev,Oqsoy
AQL-U HUSH(I)NI YO’QOTMOQ,kim? [o’zining],o’z harakatlarini ongli ravishda boshqara olmaydigan darajaga yetmoq.,,,aql(i)ni; yo’qotmoq,,aql-u hush(i) joyig’a keldi,,"Keyin aql-u hushini yo’qotib, anovi jallodga ergashib qochaveribdi. . «Yaxshi ko’rganda qizlar aqlini yo’qotib qo’yadi», – deyishadi. Zamira aqlini yo’qotib qo’yganda, xayoli shunday ravshan bo’larmidi?",P.Qodirov,Uch ildiz
ARAVANI BARAVAR TORTMOQ,kim?,"hamma teng ishlamoq, baravar mehnat qilmoq.",,,,,,,"Senlarning joning shirin bo’lganda, mening jonim shirin emasmi? – deb o’dag’ayladi Bekka Ziyodulla o’z navbatida, – aravani baravar tortinglar-da!",,
ARAVA(SI)NI TORTMOQ (ARAVANGNI TORT),kim?[o’zining],jo’nab qolmoq.,1,,,tuyog’(i); ni shiqillatmoq; tosh(i)ni termoq; tosh(ing)ni ter(...),,,"Ha-ha, men senlarning xizmatkorlaring bo’laman, aravangni tort. Shuni bilib qo’y: och qolsam-qolamanki, bunaqa ishlarni qilmayman. Men bundaylar bilan oftobda non-qatiq yeyolmayman. Aravasini tortsin, toshini tersin!",S.Abduqahhor,Gap norda emas
ARAVA(SI)NI TORTMOQ (ARAVANGNI TORT),kim?[o’zining],"boshqaning ishiga aralashguncha, o’zi qodir ishni qilavermoq.",2,,,tuyog’(i); ni shiqillatmoq; tosh(i)ni termoq; tosh(ing)ni ter(...),,,"«Sen dalaga brigadirmi yoki ...» – deb qolsa, nima degan odam bo’lasan. Aravangni tortsang-chi. Qo’y, yoshlar o’z taqdirini o’zi hal qilsin...",A.Muhiddin,Zeboning sevgisi
ARAVANI QURUQ OLIB QOCHMOQ,kim?,uddasidan chiqa olmaydigan ish yoki narsa haqida ortiq darajada maqtanmoq.,,,aravani olib qochmoq; olib qochmoq; quruq aravani olib qochmoq,,,,"Aravani quruq olib qochding, og’ayni. Gapga ham amirkon moyi surtib, g’irchillatvoradigan bo’psanda... Aravani quruq olib qochish evi bilan-da, avval burningni artsang-chi... Nima deyishardi?.. «Bo’lmag’ur ish», – deb, toza aravani olib qochishdi. «O’zing ham rosa olib qochasan-da, – gapga qo’shildi chust do’ppisini qo’lida ushlab o’tirgan yigit, – olinmagan buzoqqa qoziq qoqishingni-chi». «Men, – deydi, – bir qahramonlik ko’rsatib, hammangni ko’zingni o’ynatay» – deydi. Qudrat kulib yubordi. «Rahim quruq aravani olib qochaveradi». Buni o’z ichida aytdi. .",R.Fayziy,Cho’lga bahor keldi
ARINING INIGA CHO’P TIQMOQ,kim?,"janjalni qo’zg’ab qo’ymoq, janjal chiqishiga sabab bo’lmoq.",,,"arining inini qo’zg’amoq; arining uyasiga tegmoq, arining; uyasiga cho’p tiqmoq",,,,Yuqorida o’tirgan brigadirning gapi arining iniga cho’p tiqqandek ola-g’ovurga sabab bo’ldi.,,
ARMONDA KETMOQ,kim?,orzuga erisha olmaslik.,,,,,,,"Kelmasa, armonda ketadi, o’g’lim. Hovliqmaligim qursin mening...",I.Rahim,Chin muhabbat
AROSATDA QOLMOQ,kim?,nima qilishini bilmay gangib qolmoq.,,,,,,,"Men nima qilib qo’ydim, sizga ishonib arosatda qoldim-ku.",,
ARPA(SI)NI XOM O’RMOQ,,nima yomonlik qildi?!,,,,,,,"«Xo’sh, yigitcha, qani, nima gunohi bor? Arpangizni xom o’rdimi u?!» – qiziqsindi O’ktam. Nima bu, hadeb tutun qaytaradi, arpasini birov xom o’ribdimi?!",A.Qahhor,Oltin yulduz
ARQON(I)NI USTIGA TASHLAB QO’YMOQ,kim? kimning?,"davradan chiqarib, xatti-harakatini nazorat qilmay qo’ymoq.",,,ipi ustiga tashlangan,,,,... Saidiy ... hayotidan shu qadar uzoqda ekanidan butkul bexabarsan! Yacheyka uning arqonini ustiga tashlab qo’ygan bo’lsa kerak-da!,A.Qahhor,Sarob
ARQONNI UZUN TASHLAB QO’YMOQ,kim?,"biror ishning rivojlanishiga aralashmay, ma’lum bir muddat o’z holiga qo’yib bermoq.",,,"arg’amchini uzun tashlab qo’ymoq, ipini uzun tashlab; qo’ymoq; arg’amchini uzun tashlab qo’y",,,,"Darrov unga xabar bermoqchi bo’ldim. Lekin yana o’ylab, arqonni uzun tashlab qo’yay dedim. O’zing bilasan deb, arg’amchini uzun tashlab qo’ydim.",I.Rahim,Ixlos
ARRA QILMOQ,nimani?,teng bo’lishib olmoq.,,,,,,,Ortiqcha sutdan kelgan daromad jinoyatchilar o’rtasida arra qilib kelingan.,Gazetadan.,
ARVOH URMOQ,kimni?,"o’lgisi kelmoq, esini yo’qotib qo’ymoq, chatoq bo’lmoq.",,,,,,,"Bola-chaqalarni Rayhon qiripti, Talabgoring darrov ayril, botirlar! Bu Rayhon podshoni arvoh uripti, Bizni deganlaring ayril, botirlar!",,
ARVOHGA O’XSHAB,kim?,ozg’in.,,,,,,,"Bu qorong’ida uning aft-basharasini ham ko’rib bo’lmaydi. Uning arvohga o’xshagan ozg’in ekanligini payqash mumkin, xolos.",,
ARSH QILMOQ,kim? kim bilan?,"kayf-safo qilmoq, aysh-ishrat qilmoq.",,,,,,,Avvalgidan ko’ra kattaroq arsh qilib yuribdi.,,
ARCHILGAN TUXUMDAY,kim?,silliq.,,,,,,,"– Qoqilib ketdim, – deb unga qaradi-yu, ajablandi: o’rta bo’yli, qizil mag’iz yuzlari archilgan tuxumdek yigit unga jilmayib turibdi.",A.Muhiddin,Otash qalbli qiz
ASABI BUZILMOQ,kimning?,"asabiylashmoq, diqqat bo’lmoq.",,,,,,,"Keyin eshitsam, asabi buzilib kasalxonaga tushganmish.",O.Yoqubov,Bir felyeton qissasi
ASABI BUZUQ,,asabiy.,,,,,,,"U bo’lib-bo’lib, tez-tez nafas olib, qiynalib gapirardi. Rangi yomon, asabi buzuq, qo’li qaltirayapti.",A.Muxtor,Davr mening taqdirimda
ASABI BO’SHAMOQ,kimning?,yumshamoq.,,,,,,,"Gapni cho’zaversam, mehmonlarning ikkalasi ham ho’ngrab yig’laydiganga o’xshaydi. Asabim bo’shab, o’z ishini qildi, ularning rayini qaytara olmadim. .",,
ASABI JOYIDA,kimning?,"asabi yaxshi, mustahkam.",,,asabi; mustahkam,,,,"Ancha yoshga borgan, yuzining terisi suyagiga yopishib ketgan bo’lsa ham, asabi joyida ko’rinadi.",A.Muxtor,Davr mening taqdirimda
ASABI QAYNAMOQ,kimning?,nihoyat darajada asabiylashmoq.,,,,,,,"A’zamjonning ko’zlari xiralashib ketdi, asabi qaynab, tishlarini g’ijirlatdi.",S.Ahmad,Ufq
ASAB(I)GA TEGMOQ,kim? yoki nima? kimning?,"asabini qo’zg’atmoq, g’ijintirmoq.",,,,g’ash(i)ga; tegmoq; g’ash(i)ni keltirmoq,,,"O’rnashibroq o’tirmoqchi bo’lganida, stul g’ijirlab, yana asabiga tegdi, o’ng’aysizlanish avjiga mindi. Asabimga tegaverma , bo’lmasa adabingni berib qo’yaman!",R.Fayziy,Cho’lga bahor keldi
ASABINI BUZMOQ,kim? kimning?,"asabiylashtirmoq, g’ijintirmoq.",,,,,,,"Xotinning ingichka, bo’g’iq tovushi yo’l-yo’lakay yigitning g’ashini keltirgandi. Hozirgisi yana ham asabini buzdi.",,
ASABINI QO’ZG’ATMOQ,kim? kimning?,"jahlini chiqarmoq, asabiylashtirmoq. –",,,,,,,Otdan tushing o’rtoq To’raxonov! Shu so’zning o’ziyoq To’raxonovning asabini qo’zg’atdi.,Sh.Rashidov,Qudratli to’lqin
ASAKA(SI) KETARMIDI?!,(kimning?),biror narsa yo’qotarmidi?! Hech narsa yo’qotmas edi!,,,,,,,"G’ir etib mashinada burnimiz tagidan o’tib ketdilar. Nima, qiyomatlik qo’shnilarimiz, mashinaga solib ketsalar, asakalari ketarmidi?!",S.Abduqahhor,Gap norda emas
ASAR QOLMADI,nimadan?,"butunlay, izsiz yo’qolmoq.",,,,,,,Men uni ko’rdim deguncha yuragimdagi boyagi isyonkor tuyg’ulardan asar ham qolmadi. Siddiqjonning yuzida bu yerga kelayotgan vaqtidagi ko’ngil g’ashligidan asar qolmagan edi,A.Qahhor,Qo’shchinor chiroqlari
ASFALASOFILINGA (ASPALASOPILINGA) KETMOQ,kim?,"o’lmoq, yo’qolmoq.",,,,,,,"Keyin engashib, cholning qo’lini bir ko’tarib qo’yib yubordi. Qo’l shilq etib tushdi. – Ha, aspalasopilinga ketibdi! Bir tepkilik holi bor ekan-u, kecha tog’da yana menga dag’dag’a qiladi-ya, – dedi u.",M.Ismoiliy,Farg’ona tong otguncha
ASTAR-AVRA(SI)NI AG’DARMOQ,kim? kimning?,barcha kirdikorlarini ochib tashlamoq.,,,avra-astar(i)ni ag’darmoq; av­ra-astar(i) ochildi; astar-avra(si)ni ochmoq; astar-avra(si)ni,,,,"Tumandan kelgan vakildan keyin so’zga chiqdingiz, hamma quloqlarni, boylarni nom-banom ko’rsatib, astar-avrasini ag’dardingiz. Uning avra-astarini ag’darib xalqqa ko’rsatib, keyin ko’pchilik nima desa, shuni qilish kerak edi. Endi qo’shnimiz gunohdan qutulibdi. Lekin uning astar-avrasini burunoq ochib tashlansa ...bo’lar edi.",S.Anorboyev,Oqsoy
ATALANING ICHIDAN SUYAK CHIQMOQ,,kutilmagan odamdan yaxshi gap chiqmoq.,,,,,,,"– O’lmang siz! Ataladan suyak chiqib, muncha buning og’zidan novvot tomib qoldi desam, hammasi pulning xushomadi ekan-da?",K.Yashin,Oftobxon
ATASHIB QO’YMOQ,kimga? kimni?,unashmoq.,,,,,,,Salimani Karimga atashib qo’yganidan xabaring bormi?,,
ATLAS KO’YLAKKA BO’Z YAMOQ,,"kichik, arzimas nuqsonning yaxshi narsani buzishi, rasvo qilib qo’yishi.",,,,,,,Chilonzor massividan uy solgan xonadonlar bu hangomalardan bezor bo’lib: «quruvchilar atlas ko’ylakka bo’z yamoq yopishtirib ketishibdi…» degan mazmunda shikoyat yozgan edilar.,Mushtum.,
ATTORNING QUTISIDA YO’Q,,"bemaza, tuturiqsiz, bema’ni.",,,,,,,"O’ylab gapirsang-chi, o’rtoq, sen aytayotgan gap attorning qutisida yo’q. U Qobiljonning akasi, sevgi haqidagi qayoqdagi attorning qutisida zang bosib yotgan so’zlarni javrashni qo’ymasdi.",Q.Mahsunov,Muhabbat qo’shig’i
"AVAG’AMNING AVAG’ASI, UMURTQAMNING SHO’RVASI",kim?,"juda uzoq, chatishgan qarindosh haqida.",,,,,,,,,
AVAXTA BO’LMOQ,kim?,qamoqqa olinmoq.,,,,,,,"Akam yana avaxta bo’lgandan keyin haligi ellikboshi meni ham «o’ldi»ga chiqarib, xotinga sovchi ustiga sovchi qo’yaveripti.",A.Qahhor,Qo’shchinor chiroqlari
AVAXTA QILMOQ,kim? kimni?,"qamoqqa olmoq, qamamoq. avj olmoq",,,,,,,,,
AVJ OLMOQ,nima?,rivojlanmoq (o’simlik).,1,,avj; oldirmoq,,,,…agrotexnika qoidalariga to’la rioya qilingani uchun g’o’zalar barq urib avj olmoqda,R.Fayziy,Cho’lga bahor keldi
AVJ OLMOQ,nima?,"zo’raymoq, kuchaymoq (o’simlikdan boshqa narsa).",2,,avj; oldirmoq,,,,"Ularning har ikkisi hazil bilan kuch sinashni, bir-birlarini yumalatishni sevar edi. Lekin uxlagan elga xalaqit bermaslik uchun, bu gal kurash avj olmadi. Agar bu ishi gazak shishi bo’lsa, paxtadog’ foyda qiladi, lekin rak shishi bo’lsa, avj oldiradi.",A.Qahhor,Qo’shchinor chiroqlari
AVJGA MINDIRMOQ,nima? nimani?,yuqori darajaga ko’tarilmoq.,,,AVJGA MINMOQ,avjiga chiqmoq; avjga chiqarmoq; avjga yetmoq,,,"(o’zining). nima? (o’zining) – nima? nimani? nima? Supa va so’rilarni to’ldirib o’tirgan yigit va qizlarning gangir-gungur suhbati avjga mindi. xurrakni darajama-daraja oshirishga tirishadi: biriniki avjga minganda, ikkinchisi boshlaydi. Ayniqsa, mahallaga ellikboshi bo’lgandan keyin, mansabidan foydalanib, haliginday ishlarni avjga mindirdi. O’tgan har minut Salim akaning jahlini avjga mindirayotganini sezdi.",S.Ahmad,Qadrdon dalalar
AVJGA YETMOQ,nima?,yuqori darajaga ko’tarilmoq.,,,,avjiga chiqmoq; avjga minmoq,,,"(o’zining); nima? Ayniqsa, yigit-yalanglarning shavqi avjga yetdi.",,
– AVJGA CHIQARMOQ,kim? nimani?,yuqori darajaga ko’tarilmoq.,,,AVJIGA CHIQMOQ; avjga chiqmoq,avjga minmoq; avjga mindirmoq; avjga yetmoq; avra-astar(i)ni,,,"– nima? nimani? nima? …ammo juda quvnoq erkak-ayollarning shovqin-suroni, ayniqsa, ular mashinaga o’tirishayotganda avjiga chiqdi. Rahmatilla Obidiyning jo’shqin faoliyati avjiga chiqib, o’z samarasini bera boshlagan bir vaqtda falokat ro’y berdi. Keyingi vaqtlarda ukangiz fisq-fasodni avjga chiqardi",A.Qahhor,Qo’shchinor chiroqlari
"AVVAL IQTISOD, KEYIN SIYOSAT",,"ishni, suhbatni to’xtatib, taomga taklif qilish.",,,,,,,"Voy uka-yey! Avval iqtisod, keyin siyosat deganlar. Bo’sh qop tik turmaydi. Qani, qorin masalasini bir yoqlik qilaylik, keyin gap qochmas.",M.Sobirov,Suv yuqmas
"AVVAL MUTOLAA, KEYIN MUNOZARA",,tushunib bahslashmoq.,,,,,,,"Keng uyda ikki kishi holi qolgandan keyin shunday munozaragina zeriktirmasdi. –Avval mutolaa, keyin munozara, – der edi Dadashev.",I.Rahim,Taqdir
"AVVAL TAOM, BA’DAZ KALOM",,"oldin ovqatlanib, keyin boshqa ish bilan mashg’ul bo’lish ma’nosida qo’llanadi. –",,,,,,,"Avval taom, ba’daz kalom, – dedi u yeng shimarar ekan, – qani, oshga qarasinlar. .",,
AVZO[Y](I) BUZILDI,kimning? yoki nimaning?,vajohati yomonlashdi.,,,,,,,"Uchinchi kurslar Temir Akbarovichning avzoyi buzilganini ko’rib, jim bo’lib qolishdi. «Nimaga xafasan, ko’zlaring qizarib ketibdi? Yig’ladingmi?» – so’radi ona avzoyi buzilgan o’g’liga nazar solib. Lekin odamlar bahor hidiga to’yib ulgurmagan ham edilarki,havoning avzoyi yana buzildi Ketdik-a? Osmonning avzoyi buzilibdi.",S.Anorboyev,Oqsoy
AVZO[Y](I) BUZUQ,kimning? yoki nimaning?,"vajohati yomon, yomonlik kutish mumkin.",,,chehra(si) buzuq,,,,"Uch-to’rt kundan buyon ularning avzoyi buzuq edi, betlaridan zahar tomar edi. Yomg’ir juda qattiq quyadiganga o’xshaydi-ku, havoning avzoyi buzuq. . G’ulomjonning chehrasi boyagidan ham buzuq edi",,
AYAGAN KO’ZGA CHO’P TUSHAR,,"juda ortiqcha ehtiyot qilingan, avaylangan predmetning to’satdan, kutilmaganda nobud bo’lishi, shikastlanishi, buzilishi. –",,,,,,,"Gap-so’zdan qo’rqmang, Mastura opa. Qaytaga qo’rqqanda shunaqa bo’ladi. Ayagan ko’zga cho’p tushar deydilar-ku!",P.Qodirov,Uch ildiz
AYB QILMOQ,,"ayb sodir etmoq, aybli ish qilmoq.",1,,,,,,,,
AYB QILMOQ,,huq. Qonunga xilof xatti-harakat; jinoyatga tortishning zarur sharti,2,,,,,,,,
AYB QILMOQ,,"kishi uyalganidan, xijolat tortadigan xatti-harakat; uyatli ish, uyat.",3,,,,,,To’rt nafar harbiy Vatanga xiyonat qilishdagi aybi uchun sudga tortildi. So’raganning aybi yo’q,,
AYBGA QO’SHMASLIK (QO’SHMAYSIZ),kim? [nimani?],aybli deb hisoblamaslik.,,,aybga buyur­may(siz); aybga buyurma,,,,"Hozircha yangi ro’zg’ormizda, aybga qo’shmaysizlar, ko’rpacha ham yetishmaydi. Toqqa ko’ch-ko’lonsiz kelganmiz, qizim. Aybga qo’shmaysan. Aybga buyurmaysizlar, mehmonlar, mening idorada yana biron soatlik ishim bor. Ol buni, tentagim, xotining ishdan kelganda sovg’a qil. Arzimas bo’lsa, aybga buyurma.",S.Ahmad,Ko’klam chechaklari
AYBINI YOPMOQ,kim? kimning?,"xaspo’shlamoq, yashirmoq, bekitib o’tmoq.",,,,,,,Bo’riyevning aybini yopmoqchi bo’lganlar juda katta xatoga qo’ydilar,,
AYBNI MAYIB TOPADI,,o’z aybini sezmaslik.,,,,,,,"– Aylanay Ro’zvonxon, aybni mayib topadi, deb juda to’g’ri aytganlar-da! – dedi kampir istehzo bilan kulib. – O’zingizga qaramaysiz-ku, hammaga nom qo’yganingiz – nom qo’ygan.",S.Zunnunova,Gulxan
AYIL BOTMOQ,nima? kimga?,adolatsiz deb bilgani uchun malol kelmoq.,,,botib ketmoq; ko’ngl(i)ga ayil botmoq,qattiq tegmoq; qattiq botmoq; og’ir botmoq,,,"«Jo’n mol, ipagiga qazna aralashgan, g’irromboqi...» – dedi. Inoyatxonga bu gap ayil botdi. Bu yerga kelishim, aytgan gaplarim ko’ngillaringga ayil botgan bo’lsa, uzr, Qumri kelinoyi. «Kuyovi tushmagur muncha sirkasi suv ko’tarmaydigan yigit ekan, bir og’iz so’z shunchalik botib ketibdimi?»",J.Abdullaxonov,To’yga kelinglar
AYNI MUDDAO,,ko’ngildagidek.,,,,,,,"Adolat kimyogar bo’lsa ayni muddao – ishxona yoki mahkamada ishlamasdan, uyda o’tirib tilla qilib beradi.",A.Qahhor,Qizlar
AYNIB QOLMOQ,kim? nimadan?,"ilgarigi fikridan, va’dasidan qaytish.",1,,,,,,"– Rost , aytgan vaqtida, ... soat o’n ikki-yu nol-nolda keldim. Yo’q aynib qolibdi, unamadi",,
AYNIB QOLMOQ,kim? nimadan?,"axloqi buzilish, noto’g’ri yo’lga kirish, nojo’ya harakatlar qilish.",2,,,,,,"Sen anovi dangasaning ta’siriga berilib aynib qolding. Ko’zingni och, esingni yig’.",,
AYOL BOSHI BILAN,,"ojiz, mungli, mushtupar holida.",,,xotin boshi bilan,,,,"Ayol boshim bilan deganingiz mungli, mushtiparman deganingizmi? Siz shunday desangiz dodimizni kimga aytamiz. Endi xotin boshi bilan Marg’ilonga murojaat qilsinmi?",A.Qodiriy,O’tkan kunlar
AYOQ OSTINDA QO’YMOQ,,[ajaq astïnda qoj=] tar.,,,oyoq osti qilmoq,,,,"Ul qadar yumshoq bo’lmag’ilkim, seni ayoq ostinda qo’yg’aylar.",S.Saroyi,Gulistoni bit-turkiy
